x,y,yaw
46.999522871570704,141.176847891882,2.6592166830093302
42.5950172720477,143.483200327959,2.65921604007449
38.190514061367104,145.789555116557,2.6592153992814502
33.786013239296196,148.095912253251,2.65921475634608
29.381514805834698,150.402271742933,2.65921411602093
129.915649556555,273.195650625275,1.12736243963748
132.281034434447,278.401250921423,1.17573830442558
134.428676110576,283.752054788405,1.21303305067069
136.412542683189,289.200770771829,1.2361346126566102
138.260063367547,294.72326187672996,1.26540635001444
139.986587028368,300.306578687392,1.28242930754227
141.598296276177,305.942539685639,1.3361856979001001
142.794309212593,311.733903341927,1.4152880038406201
143.600828173338,317.629636109108,1.47042799393155
144.116259580478,323.575831114547,1.5110009670515
144.421147209476,329.544100237079,1.5297230432688897
138.36013582092698,274.735031117918,1.2587010521630901
140.165701552294,280.279465063242,1.24041428108766
142.164982627379,285.717807806795,1.1679136519839
144.466901770909,290.967992983758,1.16634449067437
146.651854350232,296.29503258806704,1.21754240114217
148.522070893203,301.803621255094,1.31126689953395
149.812101373333,307.561959964456,1.40503102517654
150.680056440411,313.444280772237,1.4591435892250701
151.245352969971,319.383252497297,1.50346801885771
151.57206244056601,325.34945175238,1.5351689558097499
